"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"46",4,"Terry McLaurin",WAS,"WR22","7","4 out of 5","2 out of 5","2 out of 5 stars","+7"
"47",4,"D'Andre Swift",CHI,"RB19","10","3 out of 5","2 out of 5","2 out of 5 stars","0"
"48",4,"Davante Adams",LAR,"WR23","11","4 out of 5","4 out of 5","1 out of 5 stars","+9"
"49",4,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+6"
"50",4,"Luther Burden III",CHI,"WR24","10","4 out of 5","4 out of 5","3 out of 5 stars","+4"
"51",4,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","0"
"52",4,"Jameson Williams",DET,"WR25","6","4 out of 5","3 out of 5","4 out of 5 stars","+8"
"53",4,"Cam Skattebo",NYG,"RB20","8","4 out of 5","4 out of 5","4 out of 5 stars","-16"
"54",4,"Bucky Irving",TB,"RB21","10","3 out of 5","4 out of 5","2 out of 5 stars","-6"
"55",4,"Quinshon Judkins",CLE,"RB22","11","4 out of 5","4 out of 5","3 out of 5 stars","-10"
"56",4,"David Montgomery",HOU,"RB23","8","4 out of 5","2 out of 5","4 out of 5 stars","-7"
"57",4,"DJ Moore",BUF,"WR26","7","4 out of 5","2 out of 5","4 out of 5 stars","-7"
"58",4,"Christian Watson",GB,"WR27","11","4 out of 5","4 out of 5","5 out of 5 stars","+8"
"59",4,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+2"
"60",4,"Mike Evans",SF,"WR28","8","4 out of 5","3 out of 5","2 out of 5 stars","+4"
"61",4,"Rome Odunze",CHI,"WR29","10","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"62",4,"Jalen Hurts",PHI,"QB6","10","4 out of 5","4 out of 5","5 out of 5 stars","+1"
"63",4,"Bhayshul Tuten",JAC,"RB24","7","4 out of 5","3 out of 5","4 out of 5 stars","-5"
"64",5,"Jadarian Price",SEA,"RB25","11","4 out of 5","4 out of 5","4 out of 5 stars","-5"
"65",5,"TreVeyon Henderson",NE,"RB26","11","4 out of 5","4 out of 5","2 out of 5 stars","-9"
"66",5,"Parker Washington",JAC,"WR30","7","4 out of 5","3 out of 5","4 out of 5 stars","+3"
"67",5,"Caleb Williams",CHI,"QB7","10","4 out of 5","2 out of 5","3 out of 5 stars","+5"
"68",5,"Tucker Kraft",GB,"TE5","11","5 out of 5","2 out of 5","2 out of 5 stars","-3"
"69",5,"Marvin Harrison Jr.",ARI,"WR31","14","4 out of 5","4 out of 5","2 out of 5 stars","+6"
"70",5,"Rhamondre Stevenson",NE,"RB27","11","4 out of 5","3 out of 5","2 out of 5 stars","0"
"71",5,"Justin Herbert",LAC,"QB8","7","4 out of 5","2 out of 5","2 out of 5 stars","+7"
"72",5,"Carnell Tate",TEN,"WR32","9","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"73",5,"Jaylen Warren",PIT,"RB28","9","4 out of 5","4 out of 5","2 out of 5 stars","-6"
"74",5,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","1 out of 5","4 out of 5 stars","+11"
"75",5,"DK Metcalf",PIT,"WR33","9","3 out of 5","3 out of 5","3 out of 5 stars","+8"
"76",5,"Brian Thomas Jr.",JAC,"WR34","7","2 out of 5","4 out of 5","4 out of 5 stars","+3"
"77",5,"Tony Pollard",TEN,"RB29","9","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"78",5,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","+2"
"79",5,"Harold Fannin Jr.",CLE,"TE6","11","4 out of 5","3 out of 5","3 out of 5 stars","-11"
"80",5,"Rico Dowdle",PIT,"RB30","9","4 out of 5","4 out of 5","2 out of 5 stars","-3"
"81",5,"Sam LaPorta",DET,"TE7","6","4 out of 5","3 out of 5","3 out of 5 stars","-10"
"82",5,"Chris Godwin Jr.",TB,"WR35","10","4 out of 5","4 out of 5","4 out of 5 stars","+7"
"83",5,"Kyle Pitts Sr.",ATL,"TE8","11","4 out of 5","4 out of 5","3 out of 5 stars","-10"
"84",5,"Jonathon Brooks",CAR,"RB31","5","4 out of 5","4 out of 5","1 out of 5 stars","-2"
"85",5,"Courtland Sutton",DEN,"WR36","10","2 out of 5","4 out of 5","2 out of 5 stars","+1"
"86",5,"J.K. Dobbins",DEN,"RB32","10","4 out of 5","4 out of 5","2 out of 5 stars","+2"
"87",5,"Michael Pittman Jr.",PIT,"WR37","9","4 out of 5","3 out of 5","3 out of 5 stars","+22"
"88",5,"Quentin Johnston",LAC,"WR38","7","4 out of 5","4 out of 5","2 out of 5 stars","+17"
"89",5,"Michael Wilson",ARI,"WR39","14","-","-","2 out of 5 stars","+1"
"90",6,"Chuba Hubbard",CAR,"RB33","5","2 out of 5","4 out of 5","1 out of 5 stars","-9"
"AD",6
"91",6,"Blake Corum",LAR,"RB34","11","4 out of 5","4 out of 5","5 out of 5 stars","0"
"92",6,"Alec Pierce",IND,"WR40","13","4 out of 5","4 out of 5","4 out of 5 stars","0"
"93",6,"Brock Purdy",SF,"QB11","8","4 out of 5","2 out of 5","1 out of 5 stars","+17"
"94",6,"George Kittle",SF,"TE9","8","4 out of 5","4 out of 5","3 out of 5 stars","-7"
"95",6,"Josh Downs",IND,"WR41","13","3 out of 5","4 out of 5","4 out of 5 stars","+8"
"96",6,"Jaxson Dart",NYG,"QB12","8","5 out of 5","4 out of 5","4 out of 5 stars","-1"
"97",6,"Jacory Croskey-Merritt",WAS,"RB35","7","4 out of 5","4 out of 5","4 out of 5 stars","0"
"98",6,"Bo Nix",DEN,"QB13","10","4 out of 5","2 out of 5","3 out of 5 stars","+4"
"99",6,"Wan'Dale Robinson",TEN,"WR42","9","4 out of 5","3 out of 5","3 out of 5 stars","+25"
"100",6,"Stefon Diggs",WAS,"WR43","7","4 out of 5","2 out of 5","2 out of 5 stars","+11"
"101",6,"RJ Harvey",DEN,"RB36","10","2 out of 5","4 out of 5","2 out of 5 stars","-17"
"102",6,"Patrick Mahomes II",KC,"QB14","5","2 out of 5","4 out of 5","2 out of 5 stars","+4"
"103",6,"Jordan Mason",MIN,"RB37","6","4 out of 5","3 out of 5","4 out of 5 stars","-7"
"104",6,"Jordan Addison",MIN,"WR44","6","4 out of 5","4 out of 5","5 out of 5 stars","+4"
"105",6,"Travis Kelce",KC,"TE10","5","2 out of 5","3 out of 5","4 out of 5 stars","-11"
"106",6,"Kenny Gainwell",TB,"RB38","10","4 out of 5","3 out of 5","2 out of 5 stars","-2"
"107",6,"Jayden Reed",GB,"WR45","11","4 out of 5","4 out of 5","5 out of 5 stars","+5"
"108",6,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","-8"
"109",6,"Jared Goff",DET,"QB16","6","4 out of 5","1 out of 5","5 out of 5 stars","+11"
"110",6,"Kyle Monangai",CHI,"RB39","10","4 out of 5","4 out of 5","2 out of 5 stars","-17"
"111",6,"Jakobi Meyers",JAC,"WR46","7","2 out of 5","3 out of 5","4 out of 5 stars","+18"
"112",6,"Dalton Kincaid",BUF,"TE11","7","3 out of 5","4 out of 5","3 out of 5 stars","-14"
"113",6,"Makai Lemon",PHI,"WR47","10","4 out of 5","3 out of 5","4 out of 5 stars","-12"
"114",6,"Rachaad White",WAS,"RB40","7","4 out of 5","2 out of 5","4 out of 5 stars","+3"
"115",6,"Aaron Jones Sr.",MIN,"RB41","6","1 out of 5","4 out of 5","4 out of 5 stars","+4"
"116",6,"Dallas Goedert",PHI,"TE12","10","4 out of 5","3 out of 5","4 out of 5 stars","+5"
"117",6,"Isaiah Likely",NYG,"TE13","8","4 out of 5","4 out of 5","3 out of 5 stars","-18"
"118",6,"Baker Mayfield",TB,"QB17","10","3 out of 5","4 out of 5","2 out of 5 stars","+14"
"119",6,"Kyler Murray",MIN,"QB18","6","4 out of 5","3 out of 5","5 out of 5 stars","+7"
"120",6,"Jordan Love",GB,"QB19","11","4 out of 5","3 out of 5","4 out of 5 stars","+19"
"121",6,"Chris Rodriguez Jr.",JAC,"RB42","7","3 out of 5","4 out of 5","4 out of 5 stars","+20"
"122",6,"Mark Andrews",BAL,"TE14","13","4 out of 5","4 out of 5","4 out of 5 stars","0"
"123",6,"Xavier Worthy",KC,"WR48","5","4 out of 5","4 out of 5","2 out of 5 stars","+14"
"124",6,"Romeo Doubs",NE,"WR49","11","4 out of 5","3 out of 5","2 out of 5 stars","+20"
"125",6,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+41"
"126",6,"Jalen Coker",CAR,"WR50","5","4 out of 5","3 out of 5","2 out of 5 stars","+30"
"127",6,"Matthew Golden",GB,"WR51","11","3 out of 5","4 out of 5","5 out of 5 stars","+3"
"128",6,"Tyler Allgeier",ARI,"RB43","14","4 out of 5","4 out of 5","2 out of 5 stars","+6"
"129",6,"Woody Marks",HOU,"RB44","8","3 out of 5","4 out of 5","4 out of 5 stars","+7"
"130",6,"Jake Ferguson",DAL,"TE15","14","2 out of 5","4 out of 5","2 out of 5 stars","-12"
"131",6,"Khalil Shakir",BUF,"WR52","7","2 out of 5","4 out of 5","4 out of 5 stars","+24"
"132",6,"KC Concepcion",CLE,"WR53","11","4 out of 5","4 out of 5","3 out of 5 stars","-5"
"133",6,"Jordyn Tyson",NO,"WR54","8","3 out of 5","5 out of 5","3 out of 5 stars","-26"
"134",7,"Tyjae Spears",TEN,"RB45","9","3 out of 5","4 out of 5","3 out of 5 stars","+23"
"135",7,"Deebo Samuel Sr.",SF,"WR55","8","4 out of 5","3 out of 5","2 out of 5 stars","-2"
"136",7,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+18"
"137",7,"Juwan Johnson",NO,"TE16","8","4 out of 5","2 out of 5","2 out of 5 stars","+14"
"138",7,"Keaton Mitchell",LAC,"RB46","7","4 out of 5","3 out of 5","3 out of 5 stars","+21"
"139",7,"Tank Bigsby",PHI,"RB47","10","4 out of 5","4 out of 5","4 out of 5 stars","+23"
"140",7,"Sam Darnold",SEA,"QB22","11","1 out of 5","4 out of 5","4 out of 5 stars","+3"
"141",7,"Jonah Coleman",DEN,"RB48","10","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"142",7,"Hunter Henry",NE,"TE17","11","2 out of 5","4 out of 5","4 out of 5 stars","+11"
"143",7,"Zach Charbonnet",SEA,"RB49","11","3 out of 5","4 out of 5","4 out of 5 stars","-1"
"144",7,"De'Zhaun Stribling",SF,"WR56","8","4 out of 5","4 out of 5","2 out of 5 stars","-31"
"145",7,"Rashid Shaheed",SEA,"WR57","11","4 out of 5","4 out of 5","3 out of 5 stars","-5"
"146",7,"Dylan Sampson",CLE,"RB50","11","4 out of 5","2 out of 5","3 out of 5 stars","+57"
"147",7,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+17"
"148",7,"Chig Okonkwo",WAS,"TE18","7","4 out of 5","3 out of 5","1 out of 5 stars","+19"
"149",7,"Isiah Pacheco",DET,"RB51","6","3 out of 5","4 out of 5","5 out of 5 stars","+3"
"150",7,"Alvin Kamara",NO,"RB52","8","2 out of 5","4 out of 5","3 out of 5 stars","0"
"151",7,"Dalton Schultz",HOU,"TE19","8","4 out of 5","2 out of 5","4 out of 5 stars","+31"
"152",7,"Tyrone Tracy Jr.",NYG,"RB53","8","2 out of 5","4 out of 5","4 out of 5 stars","-3"
"153",7,"Cam Ward",TEN,"QB24","9","4 out of 5","4 out of 5","3 out of 5 stars","+21"
"154",7,"Brenton Strange",JAC,"TE20","7","3 out of 5","3 out of 5","3 out of 5 stars","+6"
"155",7,"Daniel Jones",IND,"QB25","13","4 out of 5","4 out of 5","4 out of 5 stars","+20"
"156",7,"MarShawn Lloyd",GB,"RB54","11","4 out of 5","4 out of 5","4 out of 5 stars","+5"
"157",7,"Brian Robinson Jr.",ATL,"RB55","11","1 out of 5","4 out of 5","2 out of 5 stars","-12"
"158",7,"Adonai Mitchell",NYJ,"WR58","13","4 out of 5","4 out of 5","4 out of 5 stars","+78"
"159",7,"Denzel Boston",CLE,"WR59","11","4 out of 5","4 out of 5","3 out of 5 stars","+13"
"160",7,"Braelon Allen",NYJ,"RB56","13","2 out of 5","4 out of 5","3 out of 5 stars","+49"
"161",7,"Tre Tucker",LV,"WR60","13","4 out of 5","2 out of 5","2 out of 5 stars","+56"
"162",7,"Jauan Jennings",MIN,"WR61","6","2 out of 5","4 out of 5","5 out of 5 stars","+18"
"163",7,"Jerry Jeudy",CLE,"WR62","11","2 out of 5","4 out of 5","3 out of 5 stars","+59"
"164",7,"Mike Washington Jr.",LV,"RB57","13","4 out of 5","4 out of 5","2 out of 5 stars","-36"
"165",7,"Ray Davis",BUF,"RB58","7","4 out of 5","4 out of 5","2 out of 5 stars","+61"
"166",7,"Jalen McMillan",TB,"WR63","10","4 out of 5","4 out of 5","4 out of 5 stars","+17"
"167",7,"Tre' Harris",LAC,"WR64","7","4 out of 5","3 out of 5","2 out of 5 stars","+57"
"168",7,"Dontayvion Wicks",PHI,"WR65","10","4 out of 5","4 out of 5","4 out of 5 stars","+53"
"169",7,"AJ Barner",SEA,"TE21","11","4 out of 5","3 out of 5","3 out of 5 stars","+18"
"170",7,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+3"
"171",7,"Terrance Ferguson",LAR,"TE22","11","4 out of 5","4 out of 5","4 out of 5 stars","+8"
"172",8,"Kayshon Boutte",HOU,"WR66","8","2 out of 5","4 out of 5","3 out of 5 stars","+39"
"173",8,"T.J. Hockenson",MIN,"TE23","6","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"174",8,"Emmett Johnson",KC,"RB59","5","4 out of 5","4 out of 5","3 out of 5 stars","+42"
"175",8,"Jalen Nailor",LV,"WR67","13","-","-","2 out of 5 stars","-10"
"176",8,"Omar Cooper Jr.",NYJ,"WR68","13","4 out of 5","4 out of 5","4 out of 5 stars","+47"
"177",8,"Pat Bryant",DEN,"WR69","10","3 out of 5","3 out of 5","2 out of 5 stars","+65"
"178",8,"Ryan Flournoy",DAL,"WR70","14","4 out of 5","2 out of 5","2 out of 5 stars","+86"
"179",8,"Oronde Gadsden II",LAC,"TE24","7","3 out of 5","4 out of 5","4 out of 5 stars","-8"
"180",8,"Malik Washington",MIA,"WR71","6","3 out of 5","4 out of 5","3 out of 5 stars","+35"
"181",8,"Keenan Allen",IND,"WR72","13","3 out of 5","3 out of 5","4 out of 5 stars","-12"
"182",8,"Kimani Vidal",LAC,"RB60","7","1 out of 5","4 out of 5","3 out of 5 stars","+63"
"183",8,"Calvin Ridley",TEN,"WR73","9","2 out of 5","4 out of 5","3 out of 5 stars","+45"
"184",8,"Jacoby Brissett",ARI,"QB27","14","3 out of 5","4 out of 5","2 out of 5 stars","+49"
"185",8,"Kenyon Sadiq",NYJ,"TE25","13","3 out of 5","4 out of 5","4 out of 5 stars","-9"
"186",8,"Sean Tucker",TB,"RB61","10","4 out of 5","4 out of 5","2 out of 5 stars","+63"
"187",8,"Nicholas Singleton",TEN,"RB62","9","3 out of 5","4 out of 5","3 out of 5 stars","+40"
"188",8,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-73"
"189",8,"Gunnar Helm",TEN,"TE26","9","3 out of 5","3 out of 5","3 out of 5 stars","+67"
"190",8,"Jaylin Noel",HOU,"WR74","8","4 out of 5","3 out of 5","3 out of 5 stars","+116"
"191",8,"Tank Dell",HOU,"WR75","8","4 out of 5","4 out of 5","3 out of 5 stars","+29"
"192",8,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-69"
"193",8,"Travis Hunter",JAC,"WR76","7","3 out of 5","4 out of 5","4 out of 5 stars","-7"
"194",8,"Seattle Seahawks",SEA,"DST3","11","-","-","2 out of 5 stars","-69"
"195",8,"Los Angeles Rams",LAR,"DST4","11","-","-","2 out of 5 stars","-79"
"196",8,"Jaydon Blue",DAL,"RB63","14","4 out of 5","4 out of 5","4 out of 5 stars","-12"
"197",8,"Pat Freiermuth",PIT,"TE27","9","3 out of 5","3 out of 5","2 out of 5 stars","-3"
"198",8,"Jacksonville Jaguars",JAC,"DST5","7","-","-","3 out of 5 stars","-13"
"199",8,"Geno Smith",NYJ,"QB28","13","2 out of 5","4 out of 5","4 out of 5 stars","+38"
"200",8,"Philadelphia Eagles",PHI,"DST6","10","-","-","0 out of 5 stars","-62"
"201",8,"Aaron Rodgers",PIT,"QB29","9","1 out of 5","4 out of 5","2 out of 5 stars","-24"
"202",8,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-34"
"203",8,"Pittsburgh Steelers",PIT,"DST8","9","-","-","5 out of 5 stars","-13"
"204",8,"Cade Otton",TB,"TE28","10","2 out of 5","4 out of 5","2 out of 5 stars","+46"
"205",8,"Rashod Bateman",BAL,"WR77","13","3 out of 5","4 out of 5","4 out of 5 stars","-"
"206",8,"Brandon Aubrey",DAL,"K1","14","4 out of 5","1 out of 5","2 out of 5 stars","-92"
"207",8,"Los Angeles Chargers",LAC,"DST9","7","-","-","3 out of 5 stars","-15"
"208",8,"Kaytron Allen",WAS,"RB64","7","2 out of 5","4 out of 5","4 out of 5 stars","+30"
"209",8,"Minnesota Vikings",MIN,"DST10","6","-","-","1 out of 5 stars","-28"
"210",8,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-75"
"211",8,"Isaac TeSlaa",DET,"WR78","6","3 out of 5","4 out of 5","4 out of 5 stars","-13"
"212",8,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-81"
"213",8,"George Holani",SEA,"RB65","11","3 out of 5","4 out of 5","4 out of 5 stars","+59"
"214",8,"James Conner",ARI,"RB66","14","2 out of 5","4 out of 5","2 out of 5 stars","-21"
"215",8,"Cooper Kupp",SEA,"WR79","11","3 out of 5","4 out of 5","3 out of 5 stars","-20"
"216",8,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-58"
"217",8,"Darnell Mooney",NYG,"WR80","8","3 out of 5","4 out of 5","4 out of 5 stars","+54"
"218",8,"Emanuel Wilson",SEA,"RB67","11","2 out of 5","4 out of 5","4 out of 5 stars","+71"
"219",8,"Kansas City Chiefs",KC,"DST11","5","-","-","3 out of 5 stars","+11"
"220",8,"Baltimore Ravens",BAL,"DST12","13","-","-","5 out of 5 stars","-29"
"221",8,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-73"
"222",8,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-23"
"223",8,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-15"
"224",8,"Jaylen Wright",MIA,"RB68","6","-","-","3 out of 5 stars","+19"
"225",8,"Jake Bates",DET,"K7","6","4 out of 5","2 out of 5","5 out of 5 stars","-37"
"226",8,"Eddy Pineiro",SF,"K8","8","4 out of 5","2 out of 5","5 out of 5 stars","-24"
"227",9,"Germie Bernard",PIT,"WR81","9","2 out of 5","4 out of 5","3 out of 5 stars","+35"
"228",9,"Troy Franklin",DEN,"WR82","10","1 out of 5","4 out of 5","2 out of 5 stars","+75"
"229",9,"Kaelon Black",SF,"RB69","8","4 out of 5","4 out of 5","2 out of 5 stars","-23"
"230",9,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-18"
"231",9,"Harrison Mevis",LAR,"K9","11","4 out of 5","2 out of 5","2 out of 5 stars","-42"
"232",9,"Zachariah Branch",ATL,"WR83","11","3 out of 5","4 out of 5","3 out of 5 stars","+9"
"233",9,"David Njoku",LAC,"TE29","7","4 out of 5","4 out of 5","4 out of 5 stars","-55"
"234",9,"Buffalo Bills",BUF,"DST15","7","-","-","3 out of 5 stars","-2"
"235",9,"Cairo Santos",CHI,"K10","10","3 out of 5","3 out of 5","0 out of 5 stars","+22"
"236",9,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-73"
"237",9,"Devaughn Vele",NO,"WR84","8","2 out of 5","4 out of 5","3 out of 5 stars","+40"
"238",9,"Justice Hill",BAL,"RB70","13","-","-","3 out of 5 stars","-4"
"239",9,"Evan Engram",DEN,"TE30","10","-","-","4 out of 5 stars","+47"
"240",9,"Malachi Fields",NYG,"WR85","8","4 out of 5","4 out of 5","4 out of 5 stars","-9"
"241",9,"Chase McLaughlin",TB,"K11","10","4 out of 5","2 out of 5","3 out of 5 stars","-12"
"242",9,"Evan McPherson",CIN,"K12","6","4 out of 5","2 out of 5","2 out of 5 stars","-41"
"243",9,"Andy Borregales",NE,"K13","11","-","-","1 out of 5 stars","-25"
"244",9,"Jack Bech",LV,"WR86","13","3 out of 5","4 out of 5","2 out of 5 stars","-"
"245",9,"Ollie Gordon II",MIA,"RB71","6","3 out of 5","4 out of 5","3 out of 5 stars","-"
"246",9,"Keon Coleman",BUF,"WR87","7","2 out of 5","4 out of 5","4 out of 5 stars","+30"
"247",9,"Cleveland Browns",CLE,"DST16","11","-","-","5 out of 5 stars","0"
"248",9,"Demond Claiborne",MIN,"RB72","6","3 out of 5","4 out of 5","4 out of 5 stars","+7"
"249",9,"Jordan James",SF,"RB73","8","2 out of 5","4 out of 5","2 out of 5 stars","+5"
"250",9,"Samaje Perine",CIN,"RB74","6","1 out of 5","4 out of 5","2 out of 5 stars","+30"
"251",9,"Colby Parkinson",LAR,"TE31","11","-","-","4 out of 5 stars","+17"
"252",9,"Ja'Kobi Lane",BAL,"WR88","13","4 out of 5","4 out of 5","4 out of 5 stars","-105"
"253",9,"Antonio Williams",WAS,"WR89","7","4 out of 5","2 out of 5","2 out of 5 stars","+14"
"254",9,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","4 out of 5","4 out of 5 stars","-14"
"255",9,"Isaiah Davis",NYJ,"RB75","13","2 out of 5","4 out of 5","3 out of 5 stars","-"
"256",9,"Najee Harris",NYG,"RB76","8","2 out of 5","4 out of 5","4 out of 5 stars","+5"
"257",9,"Chris Brooks",GB,"RB77","11","2 out of 5","4 out of 5","4 out of 5 stars","-"
"258",9,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-62"
"259",9,"Tory Horton",SEA,"WR90","11","4 out of 5","4 out of 5","3 out of 5 stars","+36"
"260",9,"Elic Ayomanor",TEN,"WR91","9","1 out of 5","5 out of 5","3 out of 5 stars","-"
"261",9,"Ted Hurst III",TB,"WR92","10","4 out of 5","4 out of 5","4 out of 5 stars","+5"
"262",9,"Greg Dulcich",MIA,"TE32","6","4 out of 5","4 out of 5","5 out of 5 stars","-52"
"263",9,"Chris Bell",MIA,"WR93","6","4 out of 5","4 out of 5","3 out of 5 stars","-19"
